state,strata,date,proportion,value
Johor,overall,1/1/00,99,1158
Johor,overall,1/1/01,99.7,1201
Johor,overall,1/1/02,99.6,1260
Johor,overall,1/1/03,99.7,1118
Johor,overall,1/1/04,99.4,1003
Johor,overall,1/1/05,99.5,1003
Johor,overall,1/1/06,99.5,1363
Johor,overall,1/1/07,99.8,1387
Johor,overall,1/1/08,99.8,1430
Johor,overall,1/1/09,99.8,1466
Johor,overall,1/1/10,99.8,1476
Johor,overall,1/1/11,99.8,1528
Johor,overall,1/1/12,99.8,1512
Johor,overall,1/1/13,99.8,1508
Johor,overall,1/1/14,99.8,1568
Johor,overall,1/1/15,99.8,1619
Johor,overall,1/1/16,99.8,1737
Johor,overall,1/1/17,99.8,1680
Johor,overall,1/1/18,99.8,1757
Johor,overall,1/1/19,99.8,1888
Johor,overall,1/1/20,99.9,1831
Johor,overall,1/1/21,99.9,1848
Johor,overall,1/1/22,99.9,1837
Kedah,overall,1/1/00,96,804
Kedah,overall,1/1/01,98.2,841
Kedah,overall,1/1/02,98.7,864
Kedah,overall,1/1/03,99.4,928
Kedah,overall,1/1/04,99.3,976
Kedah,overall,1/1/05,99.5,976
Kedah,overall,1/1/06,99,1029
Kedah,overall,1/1/07,96,1088
Kedah,overall,1/1/08,97,1157
Kedah,overall,1/1/09,98,1173
Kedah,overall,1/1/10,98.2,1173
Kedah,overall,1/1/11,98.2,1237
Kedah,overall,1/1/12,98.2,1292
Kedah,overall,1/1/13,98.3,1322
Kedah,overall,1/1/14,98.3,1299
Kedah,overall,1/1/15,98.3,1315
Kedah,overall,1/1/16,98.3,1361
Kedah,overall,1/1/17,98.3,1370
Kedah,overall,1/1/18,98.3,1446
Kedah,overall,1/1/19,98.3,1474
Kedah,overall,1/1/20,98.3,1487
Kedah,overall,1/1/21,98.3,1538
Kedah,overall,1/1/22,98.3,1597
Kelantan,overall,1/1/00,53,213
Kelantan,overall,1/1/01,57.5,216
Kelantan,overall,1/1/02,61.7,216
Kelantan,overall,1/1/03,62.1,228
Kelantan,overall,1/1/04,63.8,275
Kelantan,overall,1/1/05,70,275
Kelantan,overall,1/1/06,72,295
Kelantan,overall,1/1/07,53,328
Kelantan,overall,1/1/08,54.2,341
Kelantan,overall,1/1/09,55.7,343
Kelantan,overall,1/1/10,55.5,377
Kelantan,overall,1/1/11,57.3,403
Kelantan,overall,1/1/12,59.9,406
Kelantan,overall,1/1/13,61.5,430
Kelantan,overall,1/1/14,63.2,445
Kelantan,overall,1/1/15,64,454
Kelantan,overall,1/1/16,64.7,471
Kelantan,overall,1/1/17,68,475
Kelantan,overall,1/1/18,69.3,491
Kelantan,overall,1/1/19,70.7,503
Kelantan,overall,1/1/20,70.7,507
Kelantan,overall,1/1/21,73.1,504
Kelantan,overall,1/1/22,73.9,517
Melaka,overall,1/1/00,99,324
Melaka,overall,1/1/01,99.7,320
